Section,Rank,Car,Driver,C/E/T,Time,Speed,Lap
Full Lap,1,2,"Newgarden, Josef",D/C/F,01:01.7350,104.965,51
Full Lap,2,22,"Pagenaud, Simon",D/C/F,01:02.0046,104.508,47
Full Lap,3,9,"Dixon, Scott",D/H/F,01:02.0082,104.502,65
Full Lap,4,12,"Power, Will",D/C/F,01:02.0361,104.455,88
Full Lap,5,88,"Herta, Colton (R)",D/H/F,01:02.0871,104.370,43
Full Lap,6,7,"Ericsson, Marcus (R)",D/H/F,01:02.1838,104.207,46
Full Lap,7,27,"Rossi, Alexander",D/H/F,01:02.1851,104.205,87
Full Lap,8,19,"Ferrucci, Santino (R)",D/H/F,01:02.2339,104.123,75
Full Lap,9,10,"Rosenqvist, Felix (R)",D/H/F,01:02.2555,104.087,52
Full Lap,10,5,"Hinchcliffe, James",D/H/F,01:02.3025,104.009,50
Full Lap,11,23,"Kimball, Charlie",D/C/F,01:02.3693,103.897,60
Full Lap,12,21,"Pigot, Spencer",D/C/F,01:02.3954,103.854,59
Full Lap,13,20,"Jones, Ed",D/C/F,01:02.4410,103.778,16
Full Lap,14,98,"Andretti, Marco",D/H/F,01:02.4558,103.753,76
Full Lap,15,15,"Rahal, Graham",D/H/F,01:02.4892,103.698,93
Full Lap,16,30,"Sato, Takuma",D/H/F,01:02.5818,103.544,55
Full Lap,17,4,"Leist, Matheus",D/C/F,01:02.5918,103.528,13
Full Lap,18,18,"Bourdais, Sebastien",D/H/F,01:02.6362,103.455,9
Full Lap,19,60,"Harvey, Jack",D/H/F,01:02.6495,103.433,48
Full Lap,20,26,"Veach, Zach",D/H/F,01:02.6638,103.409,48
Full Lap,21,28,"Hunter-Reay, Ryan",D/H/F,01:02.8118,103.165,9
Full Lap,22,59,"Chilton, Max",D/C/F,01:02.9215,102.985,90
Full Lap,23,14,"Kanaan, Tony",D/C/F,01:02.9729,102.901,53
Full Lap,24,81,"Hanley, Ben (R)",D/C/F,01:03.5417,101.980,86
Sector 1,1,22,"Pagenaud, Simon",D/C/F,00:02.7984,167.385,45
Sector 1,2,30,"Sato, Takuma",D/H/F,00:02.8038,167.062,24
Sector 1,3,10,"Rosenqvist, Felix (R)",D/H/F,00:02.8130,166.516,69
Sector 1,4,12,"Power, Will",D/C/F,00:02.8201,166.097,53
Sector 1,5,26,"Veach, Zach",D/H/F,00:02.8213,166.026,11
Sector 1,6,9,"Dixon, Scott",D/H/F,00:02.8225,165.955,78
Sector 1,7,2,"Newgarden, Josef",D/C/F,00:02.8233,165.908,51
Sector 1,8,98,"Andretti, Marco",D/H/F,00:02.8393,164.973,76
Sector 1,9,7,"Ericsson, Marcus (R)",D/H/F,00:02.8395,164.962,47
Sector 1,10,21,"Pigot, Spencer",D/C/F,00:02.8407,164.892,24
Sector 1,11,15,"Rahal, Graham",D/H/F,00:02.8408,164.886,4
Sector 1,12,27,"Rossi, Alexander",D/H/F,00:02.8513,164.279,85
Sector 1,13,5,"Hinchcliffe, James",D/H/F,00:02.8566,163.974,77
Sector 1,14,20,"Jones, Ed",D/C/F,00:02.8632,163.596,2
Sector 1,15,14,"Kanaan, Tony",D/C/F,00:02.8637,163.568,24
Sector 1,16,4,"Leist, Matheus",D/C/F,00:02.8716,163.118,5
Sector 1,17,88,"Herta, Colton (R)",D/H/F,00:02.8735,163.010,37
Sector 1,18,60,"Harvey, Jack",D/H/F,00:02.8820,162.529,39
Sector 1,19,59,"Chilton, Max",D/C/F,00:02.8838,162.428,52
