Section,Rank,Car,Driver,C/E/T,Time,Speed,Lap
Full Lap,1,10,"Rosenqvist, Felix",D/H/F,00:24.1088,215.025,188
Full Lap,2,4,"Kimball, Charlie",D/C/F,00:24.1660,214.516,188
Full Lap,3,26,"Veach, Zach",D/H/F,00:24.1850,214.348,185
Full Lap,4,9,"Dixon, Scott",D/H/F,00:24.2122,214.107,199
Full Lap,5,20,"Carpenter, Ed",D/C/F,00:24.2924,213.400,185
Full Lap,6,15,"Rahal, Graham",D/H/F,00:24.3285,213.083,125
Full Lap,7,29,"Hinchcliffe, James",D/H/F,00:24.3962,212.492,161
Full Lap,8,22,"Pagenaud, Simon",D/C/F,00:24.4117,212.357,184
Full Lap,9,88,"Herta, Colton",D/H/F,00:24.4209,212.277,188
Full Lap,10,59,"Daly, Conor",D/C/F,00:24.4252,212.240,155
Full Lap,11,8,"Ericsson, Marcus",D/H/F,00:24.4362,212.144,126
Full Lap,12,7,"Askew, Oliver (R)",D/C/F,00:24.4638,211.905,126
Full Lap,13,28,"Hunter-Reay, Ryan",D/H/F,00:24.4830,211.739,185
Full Lap,14,1,"Newgarden, Josef",D/C/F,00:24.5181,211.436,154
Full Lap,15,5,"O'Ward, Pato",D/C/F,00:24.5299,211.334,153
Full Lap,16,12,"Power, Will",D/C/F,00:24.5388,211.257,197
Full Lap,17,14,"Kanaan, Tony",D/C/F,00:24.5809,210.895,161
Full Lap,18,98,"Andretti, Marco",D/H/F,00:24.5933,210.789,187
Full Lap,19,27,"Rossi, Alexander",D/H/F,00:24.6725,210.112,157
Full Lap,20,18,"Ferrucci, Santino",D/H/F,00:24.7686,209.297,124
Full Lap,21,21,"VeeKay, Rinus (R)",D/C/F,00:24.7726,209.263,10
Full Lap,22,60,"Harvey, Jack",D/H/F,00:24.9079,208.127,57
Full Lap,23,55,"Palou, Alex (R)",D/H/F,00:24.9991,207.367,22
SF to T1,1,26,"Veach, Zach",D/H/F,00:02.0578,222.987,127
SF to T1,2,7,"Askew, Oliver (R)",D/C/F,00:02.0702,221.652,161
SF to T1,3,28,"Hunter-Reay, Ryan",D/H/F,00:02.0736,221.288,188
SF to T1,4,15,"Rahal, Graham",D/H/F,00:02.0744,221.203,131
SF to T1,5,20,"Carpenter, Ed",D/C/F,00:02.0748,221.160,128
