,driver,ledLapPoints,ledMostPoints,polePoints,atp,atp25,points_x,points_y,xPoints,passesFor,passesAgainst,lapOneChange,lapsT5
0,Newgarden,1,0,1,3.3255813953488373,2.0,35.0,40.0,37.0,24.0,25.0,0.0,73.0
1,Dixon,1,0,0,4.0,3.0,32.0,35.0,33.0,24.0,25.0,0.0,76.0
2,Castroneves,1,0,0,13.069767441860465,19.045454545454547,17.0,11.0,18.0,23.0,40.0,0.0,33.0
3,Rosenqvist,0,0,0,10.244186046511627,13.045454545454545,20.0,17.0,20.0,22.0,30.0,1.0,30.0
4,Grosjean,0,0,0,11.381578947368421,24.0,19.0,6.0,19.0,24.0,42.0,1.0,22.0
5,Pagenaud,0,0,0,7.767441860465116,5.0,24.0,30.0,24.0,33.0,34.0,-2.0,22.0
6,Hinchcliffe,0,0,0,10.220930232558139,14.545454545454545,20.0,15.0,20.0,23.0,30.0,0.0,19.0
7,Palou,0,0,0,7.337209302325581,4.0,26.0,32.0,26.0,30.0,24.0,2.0,44.0
8,Jones,0,0,0,14.0,11.181818181818182,16.0,19.0,16.0,41.0,44.0,-1.0,2.0
9,Herta,1,2,0,4.651162790697675,1.0,30.0,50.0,33.0,39.0,26.0,5.0,55.0
10,Sato,0,0,0,10.523255813953488,9.045454545454545,19.0,22.0,19.0,37.0,30.0,5.0,8.0
11,Reay,0,0,0,24.773809523809526,23.0,5.0,7.0,5.0,6.0,18.0,-17.0,-1.0
12,McLaughlin,0,0,0,12.930232558139535,11.545454545454545,17.0,18.0,17.0,28.0,26.0,1.0,6.0
13,Ericsson,0,0,0,15.076923076923077,,15.0,,15.0,8.0,10.0,4.0,-1.0
14,Rossi,0,0,0,10.290697674418604,6.0,20.0,28.0,20.0,32.0,23.0,1.0,-1.0
15,Ilott,0,0,0,17.8125,,12.0,,12.0,15.0,23.0,3.0,-1.0
16,Power,0,0,0,12.720930232558139,10.409090909090908,17.0,20.0,17.0,31.0,29.0,-4.0,3.0
17,Rahal,1,0,0,16.174418604651162,16.954545454545453,14.0,13.0,15.0,51.0,48.0,2.0,13.0
18,Kimball,0,0,0,15.534883720930232,14.681818181818182,14.0,15.0,14.0,38.0,36.0,2.0,0.0
19,Daly,0,0,0,17.658823529411766,21.0,12.0,9.0,12.0,29.0,29.0,2.0,-1.0
20,VeeKay,0,0,0,17.591836734693878,,12.0,,12.0,21.0,22.0,4.0,-1.0
21,Harvey,1,0,0,12.069767441860465,7.0,18.0,26.0,19.0,42.0,24.0,4.0,3.0
22,Chilton,0,0,0,19.686046511627907,16.545454545454547,10.0,13.0,10.0,39.0,31.0,1.0,-1.0
23,Kellett,0,0,0,18.511627906976745,17.545454545454547,11.0,12.0,11.0,41.0,34.0,3.0,-1.0
24,Johnson,0,0,0,21.093023255813954,19.40909090909091,9.0,11.0,9.0,29.0,19.0,3.0,-1.0
25,Askew,1,0,0,20.36904761904762,22.0,10.0,8.0,11.0,41.0,35.0,3.0,4.0
26,O'Ward,0,0,0,25.613636363636363,,5.0,,5.0,6.0,25.0,-18.0,-1.0
27,Bourdais,0,0,0,13.569767441860465,8.045454545454545,16.0,24.0,16.0,37.0,23.0,-5.0,-1.0
